频道,#genre#
CCTV-17,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226198/index.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
央视精品,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226463/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226465/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225797/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226217/index.m3u8
东南卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225766/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225754/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225803/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226216/index.m3u8
广西卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225770/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225793/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225769/index.m3u8
河北卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225750/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225767/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221225802/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/TVOD/88888893/224/3221226215/index.m3u8
